Country Code,Country Name,Methane emissions (kt CO2 equivalent),Imputed Univariate Mean,Imputed Multivariate Uniform,Imputed Multivariate Distance
ABW,Aruba,,42956.6173186,895.5478434,390.3288702724349
AFG,Afghanistan,16222.03596,16222.03596,16222.03596,16222.03596
AGO,Angola,32703.23811,32703.23811,32703.23811,32703.23811
ALB,Albania,2692.195886,2692.195886,2692.195886,2692.195886
AND,Andorra,53.600959,53.600959,53.600959,53.600959
ARE,United Arab Emirates,56944.70537,56944.70537,56944.70537,56944.70537
ARG,Argentina,131035.6894,131035.6894,131035.6894,131035.6894
ARM,Armenia,2319.921617,2319.921617,2319.921617,2319.921617
ASM,American Samoa,,42956.6173186,905.2268836000001,630.2263973423104
ATG,Antigua and Barbuda,204.865822,204.865822,204.865822,204.865822
AUS,Australia,131484.7632,131484.7632,131484.7632,131484.7632
AUT,Austria,6863.078458,6863.078458,6863.078458,6863.078458
AZE,Azerbaijan,15733.13101,15733.13101,15733.13101,15733.13101
BDI,Burundi,1258.19152,1258.19152,1258.19152,1258.19152
BEL,Belgium,7974.086619,7974.086619,7974.086619,7974.086619
BEN,Benin,4029.619412,4029.619412,4029.619412,4029.619412
BFA,Burkina Faso,15408.27314,15408.27314,15408.27314,15408.27314
BGD,Bangladesh,88903.99717,88903.99717,88903.99717,88903.99717
BGR,Bulgaria,6980.496622,6980.496622,6980.496622,6980.496622
BHR,Bahrain,17641.43403,17641.43403,17641.43403,17641.43403
BHS,"Bahamas, The",223.17922,223.17922,223.17922,223.17922
BIH,Bosnia and Herzegovina,3660.954549,3660.954549,3660.954549,3660.954549
BLR,Belarus,17079.26291,17079.26291,17079.26291,17079.26291
BLZ,Belize,514.044829,514.044829,514.044829,514.044829
BMU,Bermuda,,42956.6173186,895.5478434,842.2590285540217
BOL,Bolivia,26597.78542,26597.78542,26597.78542,26597.78542
BRA,Brazil,449213.973,449213.973,449213.973,449213.973
BRB,Barbados,2359.570952,2359.570952,2359.570952,2359.570952
BRN,Brunei Darussalam,1538.873884,1538.873884,1538.873884,1538.873884
